X,Y
5.0,-0.03515625
5.015625,-0.03515625
5.03125,-0.0390625
5.046875,-0.0078125
5.0625,0.1171875
5.078125,-0.33984375
5.09375,0.41796875
5.109375,-0.02734375
5.125,-0.02734375
5.140625,-0.03125
5.15625,-0.0390625
5.171875,-0.03515625
5.1875,-0.04296875
5.203125,-0.046875
5.21875,-0.06640625
5.234375,-0.0625
5.25,-0.0859375
5.265625,-0.0859375
5.28125,-0.1015625
5.296875,-0.09375
5.3125,-0.09375
5.328125,-0.0703125
5.34375,-0.0546875
5.359375,-0.02734375
5.375,0.00390625
5.390625,0.03125
5.40625,0.05078125
5.421875,0.06640625
5.4375,0.06640625
5.453125,0.05859375
5.46875,0.0390625
5.484375,0.0234375
5.5,-0.0078125
5.515625,-0.03515625
5.53125,-0.0625
5.546875,-0.0859375
5.5625,-0.1015625
5.578125,-0.11328125
5.59375,-0.12109375
5.609375,-0.1171875
5.625,-0.11328125
5.640625,-0.1015625
5.65625,-0.0859375
5.671875,-0.06640625
5.6875,-0.046875
5.703125,-0.03125
5.71875,-0.01171875
5.734375,0.00390625
5.75,0.015625
5.765625,0.02734375
5.78125,0.02734375
5.796875,0.03125
5.8125,0.01953125
5.828125,0.01171875
5.84375,0.00390625
5.859375,-0.015625
5.875,-0.015625
5.890625,-0.0390625
5.90625,-0.05078125
5.921875,-0.0625
5.9375,-0.0703125
5.953125,-0.07421875
5.96875,-0.0625
5.984375,-0.06640625
6.0,-0.0546875
6.015625,-0.03515625
6.03125,-0.0234375
6.046875,-0.0078125
6.0625,0.0078125
6.078125,0.01171875
6.09375,0.015625
6.109375,0.00390625
6.125,-0.00390625
6.140625,-0.01171875
6.15625,-0.03515625
6.171875,-0.0546875
6.1875,-0.06640625
6.203125,-0.08203125
6.21875,-0.07421875
6.234375,-0.078125
6.25,-0.08203125
6.265625,-0.0625
6.28125,-0.0546875
6.296875,-0.0390625
6.3125,-0.02734375
6.328125,-0.015625
6.34375,-0.01171875
6.359375,0.00390625
6.375,-0.00390625
6.390625,0.0
6.40625,-0.00390625
6.421875,-0.00390625
6.4375,-0.0078125
6.453125,-0.01171875
6.46875,-0.01953125
6.484375,-0.03125
6.5,-0.0234375
6.515625,-0.03515625
6.53125,-0.0390625
6.546875,-0.04296875
6.5625,-0.05078125
6.578125,-0.04296875
6.59375,-0.046875
6.609375,-0.05078125
6.625,-0.04296875
6.640625,-0.0390625
6.65625,-0.0390625
6.671875,-0.03125
6.6875,-0.03515625
6.703125,-0.03515625
6.71875,-0.03125
6.734375,-0.0390625
6.75,-0.0625
6.765625,-0.0546875
6.78125,-0.06640625
6.796875,-0.07421875
6.8125,-0.08203125
6.828125,-0.0703125
6.84375,-0.06640625
6.859375,-0.0390625
6.875,-0.015625
6.890625,0.0234375
6.90625,0.04296875
6.921875,0.1015625
6.9375,0.12890625
6.953125,0.140625
6.96875,0.14453125
6.984375,0.1328125
7.0,0.1171875
7.015625,0.09765625
7.03125,0.06640625
7.046875,0.05078125
7.0625,0.03515625
7.078125,0.03515625
7.09375,0.03515625
7.109375,0.046875
7.125,0.0546875
7.140625,0.06640625
7.15625,0.0703125
7.171875,0.0625
7.1875,0.046875
7.203125,0.03515625
7.21875,0.0234375
7.234375,0.015625
7.25,0.015625
7.265625,0.01953125
7.28125,0.03125
7.296875,0.0390625
7.3125,0.03515625
7.328125,0.0234375
7.34375,0.0
7.359375,-0.03515625
7.375,-0.06640625
7.390625,-0.109375
7.40625,-0.12890625
7.421875,-0.140625
7.4375,-0.125
7.453125,-0.08984375
7.46875,-0.0390625
7.484375,0.03125
7.5,0.09375
7.515625,0.15625
7.53125,0.203125
7.546875,0.2265625
7.5625,0.23046875
7.578125,0.20703125
7.59375,0.1953125
7.609375,0.1484375
7.625,0.11328125
7.640625,0.078125
7.65625,0.0546875
7.671875,0.03515625
7.6875,0.03125
7.703125,0.01171875
7.71875,0.00390625
7.734375,0.0
7.75,-0.01953125
7.765625,-0.0234375
7.78125,-0.02734375
7.796875,-0.03125
7.8125,-0.01953125
7.828125,0.00390625
7.84375,0.0234375
7.859375,0.06640625
7.875,0.1015625
7.890625,0.13671875
7.90625,0.171875
7.921875,0.1953125
7.9375,0.20703125
7.953125,0.203125
7.96875,0.19140625
7.984375,0.1796875
8.0,0.15234375
8.015625,0.1328125
8.03125,0.09765625
8.046875,0.08203125
8.0625,0.0625
8.078125,0.046875
8.09375,0.046875
