X,Y
5.0,-0.03125
5.015625,-0.03515625
5.03125,-0.03125
5.046875,-0.0078125
5.0625,0.0859375
5.078125,-0.33984375
5.09375,0.9609375
5.109375,0.55078125
5.125,0.5
5.140625,0.44140625
5.15625,0.34375
5.171875,0.22265625
5.1875,0.1015625
5.203125,-0.04296875
5.21875,-0.17578125
5.234375,-0.2890625
5.25,-0.3828125
5.265625,-0.44140625
5.28125,-0.48046875
5.296875,-0.48046875
5.3125,-0.46484375
5.328125,-0.43359375
5.34375,-0.37109375
5.359375,-0.296875
5.375,-0.203125
5.390625,-0.1015625
5.40625,-0.015625
5.421875,0.0625
5.4375,0.09765625
5.453125,0.10546875
5.46875,0.078125
5.484375,0.01953125
5.5,-0.0703125
5.515625,-0.14453125
5.53125,-0.22265625
5.546875,-0.26953125
5.5625,-0.28125
5.578125,-0.25
5.59375,-0.19921875
5.609375,-0.109375
5.625,0.01171875
5.640625,0.140625
5.65625,0.2578125
5.671875,0.359375
5.6875,0.42578125
5.703125,0.4453125
5.71875,0.43359375
5.734375,0.3671875
5.75,0.2734375
5.765625,0.171875
5.78125,0.06640625
5.796875,-0.03125
5.8125,-0.1015625
5.828125,-0.140625
5.84375,-0.1484375
5.859375,-0.1328125
5.875,-0.08984375
5.890625,-0.03515625
5.90625,0.02734375
5.921875,0.1015625
5.9375,0.15234375
5.953125,0.18359375
5.96875,0.19140625
5.984375,0.171875
6.0,0.125
6.015625,0.05859375
6.03125,-0.0078125
6.046875,-0.0859375
6.0625,-0.1484375
6.078125,-0.19140625
6.09375,-0.2109375
6.109375,-0.20703125
6.125,-0.1640625
6.140625,-0.10546875
6.15625,-0.03125
6.171875,0.0625
6.1875,0.13671875
6.203125,0.20703125
6.21875,0.2578125
6.234375,0.265625
6.25,0.25390625
6.265625,0.22265625
6.28125,0.1640625
6.296875,0.09375
6.3125,0.01953125
6.328125,-0.05078125
6.34375,-0.1171875
6.359375,-0.171875
6.375,-0.2109375
6.390625,-0.2421875
6.40625,-0.25390625
6.421875,-0.2421875
6.4375,-0.2109375
6.453125,-0.1640625
6.46875,-0.0859375
6.484375,-0.01171875
6.5,0.06640625
6.515625,0.14453125
6.53125,0.19921875
6.546875,0.23828125
6.5625,0.24609375
6.578125,0.23828125
6.59375,0.2109375
6.609375,0.171875
6.625,0.125
6.640625,0.078125
6.65625,0.0546875
6.671875,0.01953125
6.6875,0.0234375
6.703125,0.01953125
6.71875,0.046875
6.734375,0.06640625
6.75,0.09375
6.765625,0.09765625
6.78125,0.09765625
6.796875,0.08203125
6.8125,0.05078125
6.828125,0.0078125
6.84375,-0.0390625
6.859375,-0.09375
6.875,-0.12890625
6.890625,-0.15625
6.90625,-0.18359375
6.921875,-0.1875
6.9375,-0.1875
6.953125,-0.16796875
6.96875,-0.13671875
6.984375,-0.10546875
7.0,-0.06640625
7.015625,-0.01953125
7.03125,0.01171875
7.046875,0.046875
7.0625,0.0703125
7.078125,0.0859375
7.09375,0.1015625
7.109375,0.09375
7.125,0.078125
7.140625,0.07421875
7.15625,0.046875
7.171875,0.04296875
7.1875,0.02734375
7.203125,0.0234375
7.21875,0.01953125
7.234375,0.03515625
7.25,0.04296875
7.265625,0.05078125
7.28125,0.05859375
7.296875,0.05859375
7.3125,0.0546875
7.328125,0.05078125
7.34375,0.0390625
7.359375,0.01171875
7.375,-0.0078125
7.390625,-0.03125
7.40625,-0.0546875
7.421875,-0.0703125
7.4375,-0.06640625
7.453125,-0.06640625
7.46875,-0.046875
7.484375,-0.015625
7.5,0.015625
7.515625,0.0625
7.53125,0.09375
7.546875,0.1328125
7.5625,0.15625
7.578125,0.171875
7.59375,0.1640625
7.609375,0.1484375
7.625,0.125
7.640625,0.09375
7.65625,0.05078125
7.671875,0.01953125
7.6875,-0.01171875
7.703125,-0.03125
7.71875,-0.04296875
7.734375,-0.046875
7.75,-0.0390625
7.765625,-0.01953125
7.78125,-0.01171875
7.796875,0.015625
7.8125,0.04296875
7.828125,0.06640625
7.84375,0.08203125
7.859375,0.1015625
7.875,0.09765625
7.890625,0.08203125
7.90625,0.0546875
7.921875,0.015625
7.9375,-0.0234375
7.953125,-0.0625
7.96875,-0.08984375
7.984375,-0.109375
8.0,-0.10546875
8.015625,-0.08203125
8.03125,-0.0390625
8.046875,0.01171875
8.0625,0.0703125
8.078125,0.140625
8.09375,0.19140625
8.109375,0.2421875
8.125,0.2734375
8.140625,0.27734375
8.15625,0.2734375
8.171875,0.25
8.1875,0.19921875
8.203125,0.1484375
8.21875,0.0859375
8.234375,0.0234375
8.25,-0.05078125
8.265625,-0.10546875
8.28125,-0.1640625
8.296875,-0.2109375
8.3125,-0.234375
8.328125,-0.265625
8.34375,-0.26171875
8.359375,-0.25390625
8.375,-0.23046875
8.390625,-0.19921875
8.40625,-0.15234375
8.421875,-0.1015625
8.4375,-0.05078125
8.453125,0.0
8.46875,0.04296875
8.484375,0.078125
8.5,0.1015625
8.515625,0.109375
8.53125,0.1015625
8.546875,0.08203125
8.5625,0.0625
8.578125,0.03125
8.59375,0.01953125
8.609375,-0.00390625
8.625,-0.0078125
8.640625,-0.0078125
8.65625,0.0
8.671875,0.01171875
8.6875,0.03125
8.703125,0.0546875
8.71875,0.078125
8.734375,0.09375
8.75,0.125
8.765625,0.13671875
8.78125,0.1484375
8.796875,0.15625
8.8125,0.15234375
8.828125,0.1484375
8.84375,0.1328125
8.859375,0.12109375
8.875,0.08984375
8.890625,0.0703125
8.90625,0.03515625
8.921875,-0.00390625
8.9375,-0.0234375
8.953125,-0.0703125
8.96875,-0.0859375
8.984375,-0.109375
9.0,-0.10546875
9.015625,-0.10546875
9.03125,-0.09375
9.046875,-0.0625
9.0625,-0.03125
9.078125,-0.00390625
9.09375,0.0390625
9.109375,0.046875
9.125,0.0703125
9.140625,0.08203125
9.15625,0.078125
9.171875,0.078125
9.1875,0.078125
9.203125,0.078125
9.21875,0.06640625
9.234375,0.0703125
9.25,0.07421875
9.265625,0.0859375
9.28125,0.08203125
9.296875,0.09375
