X,Y
5.0,-0.03125
5.015625,-0.01953125
5.03125,-0.03125
5.046875,-0.0078125
5.0625,0.0859375
5.078125,-0.33984375
5.09375,0.45703125
5.109375,0.03125
5.125,0.015625
5.140625,-0.00390625
5.15625,-0.0078125
5.171875,-0.01953125
5.1875,-0.03125
5.203125,-0.04296875
5.21875,-0.03515625
5.234375,-0.0546875
5.25,-0.05078125
5.265625,-0.0703125
5.28125,-0.0625
5.296875,-0.08203125
5.3125,-0.08203125
5.328125,-0.08984375
5.34375,-0.08984375
5.359375,-0.0859375
5.375,-0.078125
5.390625,-0.05859375
5.40625,-0.0546875
5.421875,-0.0390625
5.4375,-0.0234375
5.453125,-0.0078125
5.46875,0.00390625
5.484375,0.01171875
5.5,0.0078125
5.515625,0.01171875
5.53125,0.0
5.546875,-0.015625
5.5625,-0.03125
5.578125,-0.046875
5.59375,-0.0625
5.609375,-0.0703125
5.625,-0.08203125
5.640625,-0.0859375
5.65625,-0.078125
5.671875,-0.0703125
5.6875,-0.0546875
5.703125,-0.03125
5.71875,-0.015625
5.734375,0.01953125
5.75,0.0390625
5.765625,0.05859375
5.78125,0.07421875
5.796875,0.0859375
5.8125,0.0859375
5.828125,0.0859375
5.84375,0.08984375
5.859375,0.09375
5.875,0.07421875
5.890625,0.08203125
5.90625,0.0703125
5.921875,0.0546875
5.9375,0.01171875
5.953125,-0.02734375
5.96875,-0.07421875
5.984375,-0.1328125
6.0,-0.17578125
6.015625,-0.21484375
6.03125,-0.23046875
6.046875,-0.2109375
6.0625,-0.171875
6.078125,-0.10546875
6.09375,-0.02734375
6.109375,0.078125
6.125,0.16796875
6.140625,0.2421875
6.15625,0.29296875
6.171875,0.3046875
6.1875,0.27734375
6.203125,0.22265625
6.21875,0.1484375
6.234375,0.03125
6.25,-0.05859375
6.265625,-0.171875
6.28125,-0.24609375
6.296875,-0.3046875
6.3125,-0.32421875
6.328125,-0.30859375
6.34375,-0.26953125
6.359375,-0.2109375
6.375,-0.12890625
6.390625,-0.046875
6.40625,0.04296875
6.421875,0.12890625
6.4375,0.1953125
6.453125,0.2421875
6.46875,0.26953125
6.484375,0.27734375
6.5,0.26953125
6.515625,0.234375
6.53125,0.18359375
6.546875,0.1484375
6.5625,0.08984375
6.578125,0.046875
6.59375,0.00390625
6.609375,-0.03125
6.625,-0.04296875
6.640625,-0.05078125
6.65625,-0.05078125
6.671875,-0.0390625
6.6875,-0.02734375
6.703125,-0.0078125
6.71875,0.0
6.734375,0.01171875
6.75,0.0234375
6.765625,0.03515625
6.78125,0.0390625
6.796875,0.046875
6.8125,0.04296875
6.828125,0.04296875
6.84375,0.0234375
6.859375,0.0
6.875,-0.01953125
6.890625,-0.05078125
6.90625,-0.07421875
6.921875,-0.09375
6.9375,-0.09375
6.953125,-0.0859375
