X,Y,predicted_label
7.890625,0.1015625,Density 70%
7.90625,0.08203125,Density 70%
7.921875,0.0390625,Density 70%
7.9375,-0.0390625,Density 30%
7.953125,-0.1328125,Density 90%
7.96875,-0.20703125,Density 90%
7.984375,-0.2734375,Density 90%
8.0,-0.31640625,Density 90%
8.015625,-0.3203125,Density 90%
8.03125,-0.28125,Density 90%
8.046875,-0.22265625,Density 90%
8.0625,-0.140625,Density 90%
8.078125,-0.046875,Density 30%
8.09375,0.0390625,Density 70%
8.109375,0.12109375,Density 70%
8.125,0.1796875,Density 90%
8.140625,0.21875,Density 90%
8.15625,0.24609375,Density 90%
8.171875,0.24609375,Density 90%
8.1875,0.2421875,Density 90%
8.203125,0.22265625,Density 90%
8.21875,0.19921875,Density 90%
8.234375,0.171875,Density 90%
8.25,0.13671875,Density 70%
8.265625,0.1015625,Density 70%
8.28125,0.0625,Density 70%
8.296875,0.01953125,Density 70%
8.3125,-0.01953125,Density 30%
8.328125,-0.06640625,Density 30%
8.34375,-0.09765625,Density 90%
8.359375,-0.12109375,Density 90%
8.375,-0.14453125,Density 90%
8.390625,-0.1484375,Density 90%
8.40625,-0.14453125,Density 90%
8.421875,-0.13671875,Density 90%
8.4375,-0.1171875,Density 90%
8.453125,-0.1015625,Density 90%
8.46875,-0.0859375,Density 30%
8.484375,-0.06640625,Density 30%
8.5,-0.0390625,Density 30%
8.515625,-0.0078125,Density 30%
8.53125,0.01171875,Density 30%
8.546875,0.05078125,Density 70%
8.5625,0.07421875,Density 70%
8.578125,0.09375,Density 70%
8.59375,0.1015625,Density 70%
8.609375,0.0859375,Density 70%
8.625,0.05859375,Density 70%
8.640625,0.0078125,Density 30%
8.65625,-0.0625,Density 30%
8.671875,-0.13671875,Density 90%
8.6875,-0.2109375,Density 90%
8.703125,-0.28125,Density 90%
8.71875,-0.33203125,Density 30%
8.734375,-0.359375,Density 30%
8.75,-0.37109375,Density 30%
8.765625,-0.33984375,Density 30%
8.78125,-0.28515625,Density 30%
8.796875,-0.21875,Density 90%
8.8125,-0.12109375,Density 90%
8.828125,-0.01953125,Density 30%
8.84375,0.08203125,Density 70%
8.859375,0.171875,Density 90%
8.875,0.25390625,Density 90%
8.890625,0.30859375,Density 90%
8.90625,0.33984375,Density 90%
8.921875,0.3359375,Density 90%
8.9375,0.2890625,Density 90%
8.953125,0.23828125,Density 90%
8.96875,0.140625,Density 90%
8.984375,0.03515625,Density 70%
9.0,-0.0859375,Density 30%
9.015625,-0.19921875,Density 90%
9.03125,-0.30078125,Density 30%
9.046875,-0.37109375,Density 30%
9.0625,-0.41015625,Density 30%
9.078125,-0.41015625,Density 30%
9.09375,-0.37890625,Density 30%
9.109375,-0.3125,Density 30%
9.125,-0.21484375,Density 90%
9.140625,-0.109375,Density 90%
9.15625,0.00390625,Density 30%
9.171875,0.09375,Density 70%
9.1875,0.17578125,Density 90%
9.203125,0.22265625,Density 90%
9.21875,0.25,Density 90%
9.234375,0.2421875,Density 90%
9.25,0.21484375,Density 90%
9.265625,0.171875,Density 90%
9.28125,0.11328125,Density 70%
9.296875,0.05078125,Density 70%
9.3125,0.0,Density 30%
9.328125,-0.05859375,Density 30%
9.34375,-0.09765625,Density 90%
9.359375,-0.13671875,Density 90%
9.375,-0.15234375,Density 90%
9.390625,-0.16796875,Density 90%
9.40625,-0.16015625,Density 90%
9.421875,-0.14453125,Density 90%
9.4375,-0.1171875,Density 90%
9.453125,-0.0859375,Density 30%
9.46875,-0.0546875,Density 30%
9.484375,-0.015625,Density 30%
9.5,0.015625,Density 30%
9.515625,0.0390625,Density 70%
9.53125,0.046875,Density 70%
9.546875,0.0625,Density 70%
9.5625,0.0546875,Density 70%
9.578125,0.05078125,Density 70%
9.59375,0.046875,Density 70%
9.609375,0.046875,Density 70%
9.625,0.0546875,Density 70%
9.640625,0.0703125,Density 70%
9.65625,0.0859375,Density 70%
9.671875,0.10546875,Density 70%
9.6875,0.1328125,Density 90%
9.703125,0.13671875,Density 90%
9.71875,0.1484375,Density 90%
9.734375,0.140625,Density 90%
9.75,0.12890625,Density 90%
9.765625,0.11328125,Density 70%
9.78125,0.0859375,Density 70%
9.796875,0.05078125,Density 70%
9.8125,0.02734375,Density 70%
9.828125,0.0,Density 30%
9.84375,-0.03515625,Density 30%
9.859375,-0.05859375,Density 30%
9.875,-0.0859375,Density 30%
9.890625,-0.10546875,Density 90%
9.90625,-0.1328125,Density 90%
9.921875,-0.15625,Density 90%
9.9375,-0.17578125,Density 30%
9.953125,-0.19140625,Density 30%
9.96875,-0.20703125,Density 30%
9.984375,-0.21875,Density 30%
10.0,-0.20703125,Density 30%
10.015625,-0.19921875,Density 30%
10.03125,-0.18359375,Density 30%
10.046875,-0.16015625,Density 90%
10.0625,-0.1328125,Density 90%
10.078125,-0.1015625,Density 90%
10.09375,-0.07421875,Density 30%
10.109375,-0.0390625,Density 30%
10.125,-0.01171875,Density 30%
10.140625,0.015625,Density 30%
10.15625,0.03125,Density 70%
10.171875,0.046875,Density 70%
10.1875,0.046875,Density 70%
10.203125,0.046875,Density 70%
10.21875,0.0390625,Density 70%
10.234375,0.02734375,Density 70%
10.25,0.0078125,Density 30%
10.265625,0.0,Density 30%
10.28125,-0.0234375,Density 30%
10.296875,-0.0390625,Density 30%
10.3125,-0.05859375,Density 30%
10.328125,-0.0625,Density 30%
10.34375,-0.06640625,Density 30%
10.359375,-0.06640625,Density 30%
10.375,-0.0546875,Density 30%
10.390625,-0.03515625,Density 30%
10.40625,-0.00390625,Density 30%
10.421875,0.03515625,Density 70%
10.4375,0.0703125,Density 70%
10.453125,0.11328125,Density 70%
10.46875,0.15234375,Density 90%
10.484375,0.19140625,Density 90%
10.5,0.21484375,Density 90%
10.515625,0.23828125,Density 90%
10.53125,0.2421875,Density 90%
10.546875,0.23046875,Density 90%
10.5625,0.19921875,Density 90%
10.578125,0.16796875,Density 90%
10.59375,0.12109375,Density 90%
10.609375,0.0546875,Density 70%
10.625,-0.00390625,Density 30%
10.640625,-0.0703125,Density 30%
10.65625,-0.12109375,Density 30%
10.671875,-0.17578125,Density 30%
10.6875,-0.203125,Density 30%
10.703125,-0.2265625,Density 30%
10.71875,-0.2265625,Density 30%
10.734375,-0.22265625,Density 30%
10.75,-0.19140625,Density 30%
10.765625,-0.1484375,Density 30%
10.78125,-0.109375,Density 30%
10.796875,-0.0546875,Density 30%
10.8125,-0.0078125,Density 30%
10.828125,0.0390625,Density 70%
10.84375,0.078125,Density 70%
10.859375,0.1015625,Density 70%
10.875,0.11328125,Density 90%
10.890625,0.11328125,Density 90%
10.90625,0.10546875,Density 70%
10.921875,0.0703125,Density 70%
10.9375,0.04296875,Density 70%
10.953125,0.0078125,Density 30%
10.96875,-0.0390625,Density 30%
10.984375,-0.0625,Density 30%
11.0,-0.08984375,Density 30%
11.015625,-0.109375,Density 30%
11.03125,-0.11328125,Density 30%
11.046875,-0.11328125,Density 30%
11.0625,-0.1015625,Density 30%
11.078125,-0.07421875,Density 30%
11.09375,-0.046875,Density 30%
11.109375,-0.02734375,Density 30%
11.125,0.0078125,Density 30%
11.140625,0.03515625,Density 70%
11.15625,0.0546875,Density 70%
11.171875,0.0625,Density 70%
11.1875,0.07421875,Density 70%
11.203125,0.0703125,Density 70%
11.21875,0.06640625,Density 70%
11.234375,0.05859375,Density 70%
11.25,0.0390625,Density 70%
11.265625,0.03125,Density 70%
11.28125,0.0234375,Density 70%
11.296875,0.0078125,Density 30%
11.3125,0.0,Density 30%
11.328125,0.0,Density 30%
11.34375,-0.01171875,Density 30%
