X,Y
5.0,-0.0234375
5.015625,-0.01953125
5.03125,-0.0234375
5.046875,-0.0078125
5.0625,0.0859375
5.078125,-0.33984375
5.09375,0.2265625
5.109375,-0.171875
5.125,-0.20703125
5.140625,-0.23828125
5.15625,-0.265625
5.171875,-0.296875
5.1875,-0.296875
5.203125,-0.296875
5.21875,-0.27734375
5.234375,-0.23828125
5.25,-0.1875
5.265625,-0.12890625
5.28125,-0.05859375
5.296875,-0.00390625
5.3125,0.0546875
5.328125,0.1015625
5.34375,0.13671875
5.359375,0.15234375
5.375,0.16015625
5.390625,0.16015625
5.40625,0.13671875
5.421875,0.10546875
5.4375,0.08203125
5.453125,0.0234375
5.46875,0.0
5.484375,-0.03515625
5.5,-0.0703125
5.515625,-0.08984375
5.53125,-0.11328125
5.546875,-0.140625
5.5625,-0.16015625
5.578125,-0.15625
5.59375,-0.16796875
5.609375,-0.1640625
5.625,-0.1484375
5.640625,-0.1328125
5.65625,-0.109375
5.671875,-0.078125
5.6875,-0.046875
5.703125,-0.00390625
5.71875,0.03125
5.734375,0.07421875
5.75,0.09765625
5.765625,0.12109375
5.78125,0.1328125
5.796875,0.109375
5.8125,0.0859375
5.828125,0.04296875
5.84375,-0.015625
5.859375,-0.078125
5.875,-0.1328125
5.890625,-0.19140625
5.90625,-0.2421875
5.921875,-0.265625
5.9375,-0.28125
5.953125,-0.2734375
5.96875,-0.2421875
5.984375,-0.19921875
6.0,-0.15234375
6.015625,-0.08984375
6.03125,-0.03125
6.046875,0.015625
6.0625,0.06640625
6.078125,0.09375
6.09375,0.11328125
6.109375,0.13671875
6.125,0.15234375
6.140625,0.1640625
6.15625,0.171875
6.171875,0.1640625
6.1875,0.140625
6.203125,0.12109375
6.21875,0.0859375
6.234375,0.05078125
6.25,0.0078125
6.265625,-0.01953125
6.28125,-0.0546875
6.296875,-0.078125
6.3125,-0.08203125
6.328125,-0.08984375
6.34375,-0.08203125
6.359375,-0.07421875
6.375,-0.0625
6.390625,-0.05859375
6.40625,-0.05078125
6.421875,-0.05078125
6.4375,-0.0546875
6.453125,-0.046875
6.46875,-0.046875
6.484375,-0.03515625
6.5,-0.02734375
6.515625,-0.015625
6.53125,-0.01171875
6.546875,0.00390625
6.5625,0.00390625
6.578125,0.0
6.59375,0.0
6.609375,-0.015625
6.625,-0.0390625
6.640625,-0.06640625
6.65625,-0.09375
6.671875,-0.125
6.6875,-0.1484375
6.703125,-0.171875
6.71875,-0.171875
6.734375,-0.16796875
6.75,-0.1484375
6.765625,-0.109375
6.78125,-0.06640625
6.796875,-0.01171875
6.8125,0.046875
6.828125,0.0859375
6.84375,0.13671875
6.859375,0.16015625
6.875,0.17578125
6.890625,0.17578125
6.90625,0.16796875
6.921875,0.140625
6.9375,0.11328125
6.953125,0.08984375
6.96875,0.0625
6.984375,0.02734375
7.0,0.0078125
7.015625,-0.02734375
7.03125,-0.04296875
7.046875,-0.078125
7.0625,-0.09765625
7.078125,-0.1328125
7.09375,-0.1640625
7.109375,-0.1796875
7.125,-0.19140625
7.140625,-0.203125
7.15625,-0.203125
7.171875,-0.19140625
7.1875,-0.16796875
7.203125,-0.140625
7.21875,-0.08984375
7.234375,-0.05078125
7.25,-0.00390625
7.265625,0.04296875
7.28125,0.0859375
7.296875,0.12109375
7.3125,0.14453125
7.328125,0.15234375
7.34375,0.16796875
7.359375,0.15234375
7.375,0.13671875
7.390625,0.12109375
7.40625,0.08203125
7.421875,0.04296875
7.4375,0.01953125
7.453125,-0.01171875
7.46875,-0.046875
7.484375,-0.0703125
7.5,-0.0859375
7.515625,-0.1015625
7.53125,-0.109375
7.546875,-0.10546875
7.5625,-0.109375
7.578125,-0.1015625
7.59375,-0.09375
7.609375,-0.0703125
7.625,-0.05078125
7.640625,-0.0234375
7.65625,0.0078125
7.671875,0.03515625
7.6875,0.06640625
7.703125,0.0859375
7.71875,0.1015625
7.734375,0.125
7.75,0.12109375
7.765625,0.1171875
7.78125,0.109375
7.796875,0.08203125
7.8125,0.0625
7.828125,0.0390625
7.84375,0.0078125
7.859375,-0.01953125
7.875,-0.0390625
7.890625,-0.0625
7.90625,-0.078125
7.921875,-0.08203125
7.9375,-0.0859375
7.953125,-0.0859375
7.96875,-0.0703125
7.984375,-0.0625
8.0,-0.05859375
8.015625,-0.04296875
8.03125,-0.01953125
8.046875,-0.0234375
8.0625,-0.01171875
8.078125,0.0
8.09375,0.00390625
8.109375,0.0
8.125,0.015625
8.140625,0.0234375
8.15625,0.03515625
8.171875,0.0390625
8.1875,0.05078125
8.203125,0.046875
8.21875,0.04296875
8.234375,0.02734375
8.25,0.01953125
8.265625,0.0
8.28125,-0.01171875
8.296875,-0.03125
8.3125,-0.05078125
8.328125,-0.0546875
8.34375,-0.0703125
8.359375,-0.0703125
8.375,-0.07421875
8.390625,-0.0625
8.40625,-0.0546875
8.421875,-0.04296875
8.4375,-0.03125
8.453125,-0.01171875
8.46875,0.0
8.484375,0.0078125
8.5,0.015625
8.515625,0.0234375
8.53125,0.015625
8.546875,0.03125
8.5625,0.02734375
8.578125,0.03125
8.59375,0.03125
8.609375,0.02734375
8.625,0.02734375
8.640625,0.03125
8.65625,0.0234375
8.671875,0.0234375
8.6875,0.0234375
8.703125,0.015625
8.71875,0.015625
8.734375,0.0078125
8.75,0.0
8.765625,0.0078125
8.78125,-0.015625
8.796875,-0.015625
8.8125,-0.0234375
8.828125,-0.02734375
8.84375,-0.03125
8.859375,-0.03515625
8.875,-0.05078125
8.890625,-0.0625
